pact_id,start,end,comment
P-0042-02,11/20/23,11/21/23,low value on first day
P-0042-01,12/1/23,12/1/23,unrealistic voltage spike
P-0042-01,2/2/24,2/7/24,monitoring system outage
P-0042-02,2/2/24,2/7/24,monitoring system outage
P-0042-03,2/2/24,2/7/24,monitoring system outage
P-0042-04,2/2/24,2/7/24,monitoring system outage
P-0042-05,2/2/24,2/6/24,monitoring system outage
P-0042-05,3/14/24,3/18/24,monitoring system outage
P-0042-05,6/3/24,7/23/24,monitoring system outage
P-0042-01,9/25/24,10/7/24,monitoring system outage
P-0063-03,11/5/24,11/6/24,monitoring system outage
P-0063-07,11/5/24,11/6/24,monitoring system outage
P-0063-09,11/5/24,11/6/24,monitoring system outage
P-0063-11,11/5/24,11/6/24,monitoring system outage
P-0063-03,12/15/24,12/16/24,monitoring system outage
P-0063-07,12/15/24,12/16/24,monitoring system outage
P-0063-09,12/15/24,12/16/24,monitoring system outage
P-0063-11,12/15/24,12/16/24,monitoring system outage
P-0042-04,1/3/25,1/6/25,monitoring system outage
P-0063-09,2/4/25,2/8/25,monitoring system outage
P-0063-03,2/7/25,2/8/25,monitoring system outage
P-0063-07,2/7/25,2/8/25,monitoring system outage
P-0063-11,2/7/25,2/11/25,monitoring system outage
P-0068-01,2/7/25,2/10/25,monitoring system outage
P-0068-02,2/7/25,2/10/25,monitoring system outage
P-0068-03,2/7/25,2/10/25,monitoring system outage
P-0068-04,2/7/25,2/10/25,monitoring system outage
P-0068-01,2/24/25,3/3/25,monitoring system outage
P-0068-02,2/24/25,3/3/25,monitoring system outage
P-0068-03,2/24/25,3/3/25,monitoring system outage
P-0068-04,2/24/25,3/3/25,monitoring system outage
P-0063-03,2/25/25,3/3/25,monitoring system outage
P-0063-07,2/25/25,3/3/25,monitoring system outage
P-0063-09,2/25/25,3/3/25,monitoring system outage
P-0063-11,2/25/25,3/3/25,monitoring system outage
P-0063-03,3/20/25,3/24/25,monitoring system outage
P-0063-07,3/20/25,3/24/25,monitoring system outage
P-0063-09,3/20/25,3/24/25,monitoring system outage
P-0063-09,3/20/25,3/24/25,monitoring system outage
P-0063-11,3/20/25,3/24/25,monitoring system outage
P-0068-01,3/20/25,3/24/25,monitoring system outage
P-0068-02,3/20/25,3/24/25,monitoring system outage
P-0068-03,3/20/25,3/24/25,monitoring system outage
P-0068-04,3/20/25,3/24/25,monitoring system outage
P-0042-03,4/3/25,4/4/25,monitoring system outage
site,10/25/25,10/26/25,Site power outage
P-0137-01,10/30/25,10/31/25,monitoring system outage
P-0137-03,10/30/25,10/31/25,monitoring system outage
P-0137-04,10/30/25,10/31/25,monitoring system outage
P-0137-05,10/30/25,10/31/25,monitoring system outage
P-0138-01,10/30/25,10/31/25,monitoring system outage
